date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:35:28	51314/51314	---MC-	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2004:35:26%20GMT	https://www.lamafiabarbearia.com.br/parcerias/	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/parcerias/index.html	(from https://www.lamafiabarbearia.com.br/)
01:35:30	152263/152263	---M--	200	added ('OK')	image/jpeg	etag:%221e492a-252c7-5631f8e2cf400%22	https://www.lamafiabarbearia.com.br/wp-content/uploads/2015/02/slide-3-intro1.jpg	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-content/uploads/2015/02/slide-3-intro1.jpg	(from https://www.lamafiabarbearia.com.br/)
01:35:30	67987/67987	---MC-	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2004:35:27%20GMT	https://www.lamafiabarbearia.com.br/blog/	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/blog/index.html	(from https://www.lamafiabarbearia.com.br/)
01:35:36	62686/62686	---MC-	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2004:35:24%20GMT	https://www.lamafiabarbearia.com.br/seja-um-franqueado/	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/seja-um-franqueado/index.html	(from https://www.lamafiabarbearia.com.br/)
01:35:36	54724/54724	---MC-	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2004:35:30%20GMT	https://www.lamafiabarbearia.com.br/unidade/parque-una/	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/unidade/parque-una/index.html	(from https://www.lamafiabarbearia.com.br/)
01:35:40	1192915/1192915	---M--	200	added ('OK')	image/jpeg	etag:%221db9f9c-1233d3-5c1fca74e8093%22	https://www.lamafiabarbearia.com.br/wp-content/uploads/2021/05/IMG_4232.jpg	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-content/uploads/2021/05/IMG_4232.jpg	(from https://www.lamafiabarbearia.com.br/)
01:35:40	78715/78715	---MC-	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2004:35:36%20GMT	https://www.lamafiabarbearia.com.br/unidade/ararangua/	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/unidade/ararangua/index.html	(from https://www.lamafiabarbearia.com.br/)
01:35:48	78120/78120	---MC-	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2004:35:40%20GMT	https://www.lamafiabarbearia.com.br/unidade/montenegro/	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/unidade/montenegro/index.html	(from https://www.lamafiabarbearia.com.br/)
01:35:48	1940990/1940990	---M--	200	added ('OK')	image/jpeg	etag:%2218244c-1d9dfe-5b20a0d6f61a3%22	https://www.lamafiabarbearia.com.br/wp-content/uploads/2020/10/LRM_EXPORT_20180102_172626.jpg	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-content/uploads/2020/10/LRM_EXPORT_20180102_172626.jpg	(from https://www.lamafiabarbearia.com.br/)
01:35:57	80888/80888	---MC-	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2004:35:48%20GMT	https://www.lamafiabarbearia.com.br/unidade/torres/	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/unidade/torres/index.html	(from https://www.lamafiabarbearia.com.br/)
